; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0.3237093,1,1,1,0
0.32372655,1,1,0,0
0.3237439,1,1,1,1
0.323744,1,1,1,0
0.32376995,1,1,0,0
0.3237786,1,1,1,1
0.3237787,1,1,1,0
0.3237873,1,1,0,0
0.32380465,1,1,1,1
0.32380475,1,1,1,0
0.3238307,1,1,0,0
0.32383935,1,1,1,1
0.32383945,1,1,1,0
0.32384805,1,1,0,0
0.3238654,1,1,1,1
0.3238655,1,1,1,0
0.3238741,1,1,0,0
0.32389145,1,1,1,1
0.32389155,1,1,1,0
0.32391745,1,1,0,0
0.32392615,1,1,1,1
0.32392625,1,1,1,0
0.3239348,1,1,0,0
0.32395215,1,1,1,1
0.32395225,1,1,1,0
0.32396085,1,1,0,0
0.3239782,1,1,1,1
0.3239783,1,1,1,0
0.32400425,1,1,0,0
0.3240129,1,1,1,1
0.324013,1,1,1,0
0.3240216,1,1,0,0
0.32403895,1,1,1,1
0.32403905,1,1,1,0
0.32404765,1,1,0,0
0.3240563,1,1,1,1
0.3240564,1,1,1,0
0.324065,1,1,0,0
0.32407365,1,1,1,0
0.3240737,1,1,1,1
0.32407375,1,1,1,0
0.324091,1,1,0,0
0.3241257,1,1,1,0
0.32412575,1,1,1,1
0.3241258,1,1,1,0
0.32413445,1,1,0,0
0.3241518,1,1,1,1
0.32415185,1,1,1,0
0.32416045,1,1,0,0
0.32416915,1,1,1,1
0.3241692,1,1,1,0
0.3241778,1,1,0,0
0.3242125,1,1,1,0
0.32421255,1,1,1,1
0.3242126,1,1,1,0
0.3242212,1,1,0,0
0.3242299,1,1,1,1
0.32422995,1,1,1,0
0.32423855,1,1,0,0
0.32424725,1,1,1,1
0.32424735,1,1,1,0
0.3242646,1,1,0,0
0.32427325,1,1,1,0
0.3242733,1,1,1,1
0.32427335,1,1,1,0
0.32428195,1,1,0,0
0.3242993,1,1,1,1
0.3242994,1,1,1,0
0.324308,1,1,0,0
0.32431665,1,1,1,1
0.32431675,1,1,1,0
0.32432535,1,1,0,0
0.324334,1,1,1,1
0.3243341,1,1,1,0
0.32435135,1,1,0,0
0.32436005,1,1,1,1
0.32436015,1,1,1,0
0.3243687,1,1,0,0
0.32438605,1,1,1,1
0.32438615,1,1,1,0
0.32439475,1,1,0,0
0.32440345,1,1,1,1
0.32440355,1,1,1,0
0.3244121,1,1,0,0
0.3244208,1,1,1,1
0.3244209,1,1,1,0
0.32443815,1,1,0,0
0.3244468,1,1,1,1
0.3244469,1,1,1,0
0.3244555,1,1,0,0
0.32447285,1,1,1,1
0.32447295,1,1,1,0
0.32448155,1,1,0,0
0.3244902,1,1,1,1
0.3244903,1,1,1,0
0.3244989,1,1,0,0
0.32450755,1,1,1,1
0.32450765,1,1,1,0
0.3245249,1,1,0,0
0.3245336,1,1,1,1
0.3245337,1,1,1,0
0.32454225,1,1,0,0
0.3245596,1,1,1,1
